Year,runoff
abundant year,129.06
abundant year,112.5
abundant year,109.58
abundant year,144
abundant year,329.58
abundant year,319
abundant year,494.16
abundant year,393.9
abundant year,896.67
abundant year,518.61
abundant year,300.67
abundant year,183.84
average  year,95.23
average  year,88.93
average  year,93.29
average  year,216.67
average  year,428
average  year,384
average  year,435.39
average  year,657
average  year,434.33
average  year,265.29
average  year,174.67
average  year,130.74
dry year,143.35
dry year,128.57
dry year,147.77
dry year,169
dry year,309.87
dry year,420
dry year,498.74
dry year,274.13
dry year,349
dry year,176.26
dry year,167.33
dry year,136.77
