group,zinc
Pregnant nonvegetarians,185
Pregnant nonvegetarians,189
Pregnant nonvegetarians,187
Pregnant nonvegetarians,181
Pregnant nonvegetarians,150
Pregnant nonvegetarians,176
Pregnant nonvegetarians,189
Pregnant nonvegetarians,179
Pregnant nonvegetarians,163
Pregnant nonvegetarians,174
Pregnant nonvegetarians,184
Pregnant nonvegetarians,186
Pregnant vegetarians,171
Pregnant vegetarians,174
Pregnant vegetarians,202
Pregnant vegetarians,171
Pregnant vegetarians,207
Pregnant vegetarians,125
Nonpregnant vegetarians,210
Nonpregnant vegetarians,139
Nonpregnant vegetarians,172
Nonpregnant vegetarians,198
Nonpregnant vegetarians,177
